cudaMalloc(D0 (0x7f0fc5600000), 200000 bytes)
cudaMemcpyAsync(cudaMemcpyHostToDevice) D174(0x7f0fc57e1000) <- H174(0x55ff6fe22a40), 400 bytes) [time: 0.002 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D175(0x7f0fc57e1400) <- H175(0x55ff6fe26300), 8 bytes) [time: 0.001 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D176(0x7f0fc57e1600) <- H176(0x55ff6fe23e40), 100 bytes) [time: 0.002 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D177(0x7f0fc57e1800) <- H177(0x55ff6fe24200), 100 bytes) [time: 0.001 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D178(0x7f0fc57e1a00) <- H178(0x55ff6fe24600), 8 bytes) [time: 0.001 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D179(0x7f0fc57e1c00) <- H179(0x55ff6fe256c0), 100 bytes) [time: 0.001 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D180(0x7f0fc57e1e00) <- H180(0x55ff6fe25a80), 100 bytes) [time: 0.001 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D181(0x7f0fc57e2000) <- H181(0x55ff7021f900), 8 bytes) [time: 0.001 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D182(0x7f0fc57e2200) <- H182(0x55ff70220f40), 400 bytes) [time: 0.002 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D183(0x7f0fc57e2600) <- H183(0x55ff70221600), 400 bytes) [time: 0.001 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D184(0x7f0fc57e2a00) <- H184(0x55ff70221d00), 8 bytes) [time: 0.001 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D185(0x7f0fc57e2c00) <- H185(0x55ff70222ec0), 100 bytes) [time: 0.002 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D186(0x7f0fc57e2e00) <- H186(0x55ff702232c0), 100 bytes) [time: 0.001 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D187(0x7f0fc57e3000) <- H187(0x55ff702236c0), 8 bytes) [time: 0.001 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D188(0x7f0fc57e3200) <- H188(0x55ff6fe15880), 100 bytes) [time: 0.001 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D189(0x7f0fc57e3400) <- H189(0x55ff6fe15c80), 100 bytes) [time: 0.001 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D190(0x7f0fc57e3600) <- H190(0x55ff7021c680), 8 bytes) [time: 0.001 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D191(0x7f0fc57e3800) <- H191(0x55ff6fe18e00), 400 bytes) [time: 0.002 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D192(0x7f0fc57e3c00) <- H192(0x55ff6fe194c0), 400 bytes) [time: 0.001 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D193(0x7f0fc57e4000) <- H193(0x55ff6fe19b80), 8 bytes) [time: 0.001 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D194(0x7f0fc57e4200) <- H194(0x55ff6fe1b000), 200 bytes) [time: 0.001 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D195(0x7f0fc57e4400) <- H195(0x55ff6fe1b500), 200 bytes) [time: 0.001 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D196(0x7f0fc57e4600) <- H196(0x55ff6fe1ba00), 8 bytes) [time: 0.001 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D197(0x7f0fc57e4800) <- H197(0x55ff7031e740), 200 bytes) [time: 0.001 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D198(0x7f0fc57e4a00) <- H198(0x55ff7031eb40), 200 bytes) [time: 0.001 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D199(0x7f0fc57e4c00) <- H199(0x55ff6fe1e240), 8 bytes) [time: 0.001 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D200(0x7f0fc57e4e00) <- H200(0x55ff70360900), 800 bytes) [time: 0.002 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D201(0x7f0fc57e5600) <- H201(0x55ff70361300), 800 bytes) [time: 0.002 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D202(0x7f0fc57e5e00) <- H202(0x55ff70215cc0), 8 bytes) [time: 0.001 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D203(0x7f0fc57e6000) <- H203(0x55ff70363640), 800 bytes) [time: 0.002 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D204(0x7f0fc57e6800) <- H204(0x55ff70364040), 800 bytes) [time: 0.002 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D205(0x7f0fc57e7000) <- H205(0x55ff70364a40), 8 bytes) [time: 0.001 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D206(0x7f0fc57e7200) <- H206(0x55ff703a5880), 200 bytes) [time: 0.001 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D207(0x7f0fc57e7400) <- H207(0x55ff703a5c80), 200 bytes) [time: 0.001 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D208(0x7f0fc57e7600) <- H208(0x55ff703a6080), 8 bytes) [time: 0.001 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D209(0x7f0fc57e7800) <- H209(0x55ff703a6e80), 200 bytes) [time: 0.002 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D210(0x7f0fc57e7a00) <- H210(0x55ff703a7280), 200 bytes) [time: 0.001 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D211(0x7f0fc57e7c00) <- H211(0x55ff703a7680), 8 bytes) [time: 0.001 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D212(0x7f0fc57e7e00) <- H212(0x55ff703e9080), 800 bytes) [time: 0.002 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D213(0x7f0fc57e8600) <- H213(0x55ff703e9a80), 800 bytes) [time: 0.002 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D214(0x7f0fc57e8e00) <- H214(0x55ff703ea480), 8 bytes) [time: 0.001 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D215(0x7f0fc57e9000) <- H215(0x55ff7042b3c0), 200 bytes) [time: 0.001 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D216(0x7f0fc57e9200) <- H216(0x55ff7042b7c0), 200 bytes) [time: 0.001 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D217(0x7f0fc57e9400) <- H217(0x55ff7042bbc0), 8 bytes) [time: 0.001 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D218(0x7f0fc57e9600) <- H218(0x55ff7042c940), 200 bytes) [time: 0.001 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D219(0x7f0fc57e9800) <- H219(0x55ff7042cd40), 200 bytes) [time: 0.001 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D220(0x7f0fc57e9a00) <- H220(0x55ff7042d140), 8 bytes) [time: 0.001 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D221(0x7f0fc57e9c00) <- H221(0x55ff7046ebc0), 800 bytes) [time: 0.002 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D222(0x7f0fc57ea400) <- H222(0x55ff6fe16080), 800 bytes) [time: 0.002 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D223(0x7f0fc57eac00) <- H223(0x55ff6fe16b40), 8 bytes) [time: 0.001 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D224(0x7f0fc57eae00) <- H224(0x55ff704b3d40), 200 bytes) [time: 0.001 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D225(0x7f0fc57eb000) <- H225(0x55ff704b4140), 200 bytes) [time: 0.001 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D226(0x7f0fc57eb200) <- H226(0x55ff704b4540), 8 bytes) [time: 0.001 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D227(0x7f0fc57eb400) <- H227(0x55ff704b5340), 200 bytes) [time: 0.001 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D228(0x7f0fc57eb600) <- H228(0x55ff704b5740), 200 bytes) [time: 0.001 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D229(0x7f0fc57eb800) <- H229(0x55ff704b5b40), 8 bytes) [time: 0.001 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D230(0x7f0fc57eba00) <- H230(0x55ff704f7480), 800 bytes) [time: 0.002 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D231(0x7f0fc57ec200) <- H231(0x55ff704f7e80), 800 bytes) [time: 0.002 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D232(0x7f0fc57eca00) <- H232(0x55ff704f8880), 8 bytes) [time: 0.001 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D233(0x7f0fc57ecc00) <- H233(0x55ff704f9b40), 400 bytes) [time: 0.002 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D234(0x7f0fc57ed000) <- H234(0x55ff704fa140), 400 bytes) [time: 0.001 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D235(0x7f0fc57ed400) <- H235(0x55ff704fa740), 8 bytes) [time: 0.001 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D236(0x7f0fc57ed600) <- H236(0x55ff704fb8c0), 400 bytes) [time: 0.002 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D237(0x7f0fc57eda00) <- H237(0x55ff704fbec0), 400 bytes) [time: 0.001 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D238(0x7f0fc57ede00) <- H238(0x55ff704fc4c0), 8 bytes) [time: 0.001 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D239(0x7f0fc57ee000) <- H239(0x55ff704feec0), 1000 bytes) [time: 0.002 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D240(0x7f0fc57ef000) <- H240(0x55ff705000c0), 1000 bytes) [time: 0.002 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D241(0x7f0fc57f0000) <- H241(0x55ff705012c0), 8 bytes) [time: 0.001 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D242(0x7f0fc57f0200) <- H242(0x55ff70503c80), 1000 bytes) [time: 0.002 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D243(0x7f0fc57f1200) <- H243(0x55ff70504e80), 1000 bytes) [time: 0.002 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D244(0x7f0fc57f2200) <- H244(0x55ff70506080), 8 bytes) [time: 0.001 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D245(0x7f0fc57f2400) <- H245(0x55ff70507300), 400 bytes) [time: 0.002 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D246(0x7f0fc57f2800) <- H246(0x55ff70507900), 400 bytes) [time: 0.001 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D247(0x7f0fc57f2c00) <- H247(0x55ff70507f00), 8 bytes) [time: 0.001 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D248(0x7f0fc57f2e00) <- H248(0x55ff70509100), 400 bytes) [time: 0.001 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D249(0x7f0fc57f3200) <- H249(0x55ff70509700), 400 bytes) [time: 0.001 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D250(0x7f0fc57f3600) <- H250(0x55ff70509d00), 8 bytes) [time: 0.001 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D251(0x7f0fc57f3800) <- H251(0x55ff7050c680), 1000 bytes) [time: 0.002 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D252(0x7f0fc57f4800) <- H252(0x55ff7050d880), 1000 bytes) [time: 0.002 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D253(0x7f0fc57f5800) <- H253(0x55ff7050ea80), 8 bytes) [time: 0.001 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D254(0x7f0fc57f5a00) <- H254(0x55ff7050fd40), 400 bytes) [time: 0.002 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D255(0x7f0fc57f5e00) <- H255(0x55ff70510340), 400 bytes) [time: 0.002 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D256(0x7f0fc57f6200) <- H256(0x55ff70510940), 8 bytes) [time: 0.001 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D257(0x7f0fc57f6400) <- H257(0x55ff70511ac0), 400 bytes) [time: 0.002 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D258(0x7f0fc57f6800) <- H258(0x55ff705120c0), 400 bytes) [time: 0.002 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D259(0x7f0fc57f6c00) <- H259(0x55ff705126c0), 8 bytes) [time: 0.001 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D260(0x7f0fc57f6e00) <- H260(0x55ff705150c0), 1000 bytes) [time: 0.002 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D261(0x7f0fc57f7e00) <- H261(0x55ff705162c0), 1000 bytes) [time: 0.002 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D262(0x7f0fc57f8e00) <- H262(0x55ff705174c0), 8 bytes) [time: 0.001 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D263(0x7f0fc57f9000) <- H263(0x55ff70518700), 400 bytes) [time: 0.002 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D264(0x7f0fc57f9400) <- H264(0x55ff70518d00), 400 bytes) [time: 0.001 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D265(0x7f0fc57f9800) <- H265(0x55ff70519300), 8 bytes) [time: 0.001 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D266(0x7f0fc57f9a00) <- H266(0x55ff7051a500), 400 bytes) [time: 0.001 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D267(0x7f0fc57f9e00) <- H267(0x55ff7051ab00), 400 bytes) [time: 0.001 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D268(0x7f0fc57fa200) <- H268(0x55ff7051b100), 8 bytes) [time: 0.001 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D269(0x7f0fc57fa400) <- H269(0x55ff7051dac0), 1000 bytes) [time: 0.002 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D270(0x7f0fc57fb400) <- H270(0x55ff7051ecc0), 1000 bytes) [time: 0.002 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D271(0x7f0fc57fc400) <- H271(0x55ff7051fec0), 8 bytes) [time: 0.001 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D272(0x7f0fc57fc600) <- H272(0x55ff70521140), 400 bytes) [time: 0.002 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D273(0x7f0fc57fca00) <- H273(0x55ff70521740), 400 bytes) [time: 0.001 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D274(0x7f0fc57fce00) <- H274(0x55ff70521d40), 8 bytes) [time: 0.001 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D275(0x7f0fc57fd000) <- H275(0x55ff70522f00), 400 bytes) [time: 0.001 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D276(0x7f0fc57fd400) <- H276(0x55ff70523500), 400 bytes) [time: 0.001 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D277(0x7f0fc57fd800) <- H277(0x55ff70523b00), 8 bytes) [time: 0.001 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D278(0x7f0fc57fda00) <- H278(0x55ff70526500), 1000 bytes) [time: 0.002 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D279(0x7f0fc57fea00) <- H279(0x55ff70527700), 1000 bytes) [time: 0.002 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D280(0x7f0fc57ffa00) <- H280(0x55ff70528900), 8 bytes) [time: 0.001 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D281(0x7f0fc57ffc00) <- H281(0x55ff70529b40), 400 bytes) [time: 0.002 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D282(0x7f0fc59d0000) <- H282(0x55ff7052a140), 400 bytes) [time: 0.002 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D283(0x7f0fc59d0400) <- H283(0x55ff7052a740), 8 bytes) [time: 0.001 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D284(0x7f0fc59d0600) <- H284(0x55ff7052b940), 400 bytes) [time: 0.001 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D285(0x7f0fc59d0a00) <- H285(0x55ff7052bf40), 400 bytes) [time: 0.001 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D286(0x7f0fc59d0e00) <- H286(0x55ff7052c540), 8 bytes) [time: 0.001 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D287(0x7f0fc59d1000) <- H287(0x55ff7046f800), 1000 bytes) [time: 0.002 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D288(0x7f0fc59d2000) <- H288(0x55ff70470a00), 1000 bytes) [time: 0.002 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D289(0x7f0fc59d3000) <- H289(0x55ff70471c80), 8 bytes) [time: 0.001 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D290(0x7f0fc59d3200) <- H290(0x55ff70537480), 800 bytes) [time: 0.002 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D291(0x7f0fc59d3a00) <- H291(0x55ff70537e80), 800 bytes) [time: 0.001 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D292(0x7f0fc59d4200) <- H292(0x55ff70538880), 8 bytes) [time: 0.001 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D293(0x7f0fc59d4400) <- H293(0x55ff7053b580), 800 bytes) [time: 0.002 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D294(0x7f0fc59d4c00) <- H294(0x55ff7053be00), 800 bytes) [time: 0.001 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D295(0x7f0fc59d5400) <- H295(0x55ff7053c800), 8 bytes) [time: 0.001 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D296(0x7f0fc59d5600) <- H296(0x55ff70541180), 2000 bytes) [time: 0.002 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D297(0x7f0fc59d7600) <- H297(0x55ff70543380), 2000 bytes) [time: 0.002 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D298(0x7f0fc59d9600) <- H298(0x55ff70545580), 8 bytes) [time: 0.001 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D299(0x7f0fc59d9800) <- H299(0x55ff70549f80), 2000 bytes) [time: 0.002 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D300(0x7f0fc59db800) <- H300(0x55ff7054c180), 2000 bytes) [time: 0.002 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D301(0x7f0fc59dd800) <- H301(0x55ff7054e380), 8 bytes) [time: 0.001 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D302(0x7f0fc59dda00) <- H302(0x55ff7054fe00), 800 bytes) [time: 0.002 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D303(0x7f0fc59de200) <- H303(0x55ff70550800), 800 bytes) [time: 0.001 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D304(0x7f0fc59dea00) <- H304(0x55ff70551200), 8 bytes) [time: 0.001 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D305(0x7f0fc59dec00) <- H305(0x55ff70552bc0), 800 bytes) [time: 0.002 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D306(0x7f0fc59df400) <- H306(0x55ff705535c0), 800 bytes) [time: 0.002 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D307(0x7f0fc59dfc00) <- H307(0x55ff70553fc0), 8 bytes) [time: 0.001 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D308(0x7f0fc59dfe00) <- H308(0x55ff705589c0), 2000 bytes) [time: 0.002 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D309(0x7f0fc59e1e00) <- H309(0x55ff7055abc0), 2000 bytes) [time: 0.002 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D310(0x7f0fc59e3e00) <- H310(0x55ff7055cdc0), 8 bytes) [time: 0.002 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D311(0x7f0fc59e4000) <- H311(0x55ff7055e800), 800 bytes) [time: 0.002 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D312(0x7f0fc59e4800) <- H312(0x55ff7055f200), 800 bytes) [time: 0.002 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D313(0x7f0fc59e5000) <- H313(0x55ff7055fc00), 8 bytes) [time: 0.001 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D314(0x7f0fc59e5200) <- H314(0x55ff70561cc0), 800 bytes) [time: 0.002 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D315(0x7f0fc59e5a00) <- H315(0x55ff705626c0), 800 bytes) [time: 0.002 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D316(0x7f0fc59e6200) <- H316(0x55ff705630c0), 8 bytes) [time: 0.002 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D317(0x7f0fc59e6400) <- H317(0x55ff70568100), 2000 bytes) [time: 0.002 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D318(0x7f0fc59e8400) <- H318(0x55ff7056a300), 2000 bytes) [time: 0.002 ms]

cudaMemcpyAsync(cudaMemcpyHostToDevice) D319(0x7f0fc59ea400) <- H319(0x55ff7056c500), 8 bytes) [time: 0.001 ms]

cudaMalloc(D320 (0x7f0fbd400000), 200000 bytes)

cudaMemcpyAsync(cudaMemcpyHostToDevice) D320(0x7f0fbd400000) <- H320(0x55ff705b6380), 93000 bytes) [time: 0.126 ms]

cuLaunchKernel(void at::native::unrolled_elementwise_kernel<at::native::copy_device_to_device(at::TensorIterator&, bool)::{lambda()#2}::operator()() const::{lambda()#8}::operator()() const::{lambda(float)#1}, at::detail::Array<char*, 2>, TrivialOffsetCalculator<1, unsigned int>, TrivialOffsetCalculator<1, unsigned int>, at::native::memory::LoadWithoutCast, at::native::memory::StoreWithoutCast>(int, at::native::copy_device_to_device(at::TensorIterator&, bool)::{lambda()#2}::operator()() const::{lambda()#8}::operator()() const::{lambda(float)#1}, at::detail::Array<char*, 2>, TrivialOffsetCalculator<1, unsigned int>, TrivialOffsetCalculator<1, unsigned int>, at::native::memory::LoadWithoutCast, at::native::memory::StoreWithoutCast)) [time: 0.017 ms]

cuLaunchKernel(void convolve_common_engine_float_NHWC<float, float, 1024, 5, 5, 3, 3, 3, false, false, false, false, false>(int, int, int, float const*, float const*, int, float*, conv_kernel_common_params, unsigned long long, unsigned long, float, float, bool, float const*, float const*, bool)) [time: 0.013 ms]

cuLaunchKernel(void cudnn::bn_fw_inf_1C11_kernel_NCHW<signed char, float, true, 2>(float, float, cudnnTensorStruct, signed char const*, cudnnTensorStruct, signed char*, cudnnTensorStruct, float const*, float const*, float const*, float const*, float)) [time: 0.011 ms]

cuLaunchKernel(void at::native::unrolled_elementwise_kernel<at::native::(anonymous namespace)::clamp_min_scalar_kernel_impl(at::TensorIterator&, c10::Scalar)::{lambda()#1}::operator()() const::{lambda()#6}::operator()() const::{lambda(double)#1}, at::detail::Array<char*, 2>, OffsetCalculator<1, unsigned int>, OffsetCalculator<1, unsigned int>, at::native::memory::LoadWithCast<1>, at::native::memory::StoreWithCast>(int, at::native::(anonymous namespace)::clamp_min_scalar_kernel_impl(at::TensorIterator&, c10::Scalar)::{lambda()#1}::operator()() const::{lambda()#6}::operator()() const::{lambda(double)#1}, at::detail::Array<char*, 2>, OffsetCalculator<1, unsigned int>, OffsetCalculator<1, unsigned int>, at::native::memory::LoadWithCast<1>, at::native::memory::StoreWithCast)) [time: 0.008 ms]

cuLaunchKernel(void at::native::(anonymous namespace)::max_pool_forward_nchw<double, double>(int, double const*, int, int, int, int, int, int, int, int, int, int, int, int, int, int, double*, long*)) [time: 0.009 ms]

cudaMalloc(D321 (0x7f0f42400000), 200000 bytes)

cuLaunchKernel(void convolve_common_engine_float_NHWC<float, float, 1024, 5, 5, 3, 3, 3, false, false, false, false, false>(int, int, int, float const*, float const*, int, float*, conv_kernel_common_params, unsigned long long, unsigned long, float, float, bool, float const*, float const*, bool)) [time: 0.009 ms]

cuLaunchKernel(void cudnn::bn_fw_inf_1C11_kernel_NCHW<signed char, float, true, 2>(float, float, cudnnTensorStruct, signed char const*, cudnnTensorStruct, signed char*, cudnnTensorStruct, float const*, float const*, float const*, float const*, float)) [time: 0.009 ms]

cuLaunchKernel(void at::native::unrolled_elementwise_kernel<at::native::(anonymous namespace)::clamp_min_scalar_kernel_impl(at::TensorIterator&, c10::Scalar)::{lambda()#1}::operator()() const::{lambda()#6}::operator()() const::{lambda(double)#1}, at::detail::Array<char*, 2>, OffsetCalculator<1, unsigned int>, OffsetCalculator<1, unsigned int>, at::native::memory::LoadWithCast<1>, at::native::memory::StoreWithCast>(int, at::native::(anonymous namespace)::clamp_min_scalar_kernel_impl(at::TensorIterator&, c10::Scalar)::{lambda()#1}::operator()() const::{lambda()#6}::operator()() const::{lambda(double)#1}, at::detail::Array<char*, 2>, OffsetCalculator<1, unsigned int>, OffsetCalculator<1, unsigned int>, at::native::memory::LoadWithCast<1>, at::native::memory::StoreWithCast)) [time: 0.009 ms]

cudaMalloc(D322 (0x7f0f42600000), 200000 bytes)

cuLaunchKernel(void at::native::unrolled_elementwise_kernel<at::native::copy_device_to_device(at::TensorIterator&, bool)::{lambda()#2}::operator()() const::{lambda()#8}::operator()() const::{lambda(float)#1}, at::detail::Array<char*, 2>, TrivialOffsetCalculator<1, unsigned int>, TrivialOffsetCalculator<1, unsigned int>, at::native::memory::LoadWithoutCast, at::native::memory::StoreWithoutCast>(int, at::native::copy_device_to_device(at::TensorIterator&, bool)::{lambda()#2}::operator()() const::{lambda()#8}::operator()() const::{lambda(float)#1}, at::detail::Array<char*, 2>, TrivialOffsetCalculator<1, unsigned int>, TrivialOffsetCalculator<1, unsigned int>, at::native::memory::LoadWithoutCast, at::native::memory::StoreWithoutCast)) [time: 0.01 ms]

cuLaunchKernel(void cudnn::ops::convertTensor_kernel<float, float, float, (cudnnKernelDataType_t)0>(float, float const*, float, float*, unsigned long)) [time: 0.014 ms]

cuLaunchKernel(void cudnn::ops::convertTensor_kernel<float, float, float, (cudnnKernelDataType_t)0>(float, float const*, float, float*, unsigned long)) [time: 0.008 ms]

cuLaunchKernel(void cutlass_cudnn::Kernel<cutlass_tensorop_s1688fprop_optimized_tf32_64x64_32x5>(cutlass_tensorop_s1688fprop_optimized_tf32_64x64_32x5::Params)) [time: 0.008 ms]

